                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.91352,                0.72854,                 1.6521,                0.76345,                0.51163,                 0.6176,                0.43595,                 1.1934,                 1.1823,                 1.8492,              0.0002774,              0.0002774,              0.0002774
                     90,                0.91379,                 0.7397,                 1.6149,                0.67143,                0.55814,                0.61857,                0.43702,                 1.2038,                 1.1885,                 1.8578,              0.0002576,              0.0002576,              0.0002576
                     91,                 0.8463,                 0.7157,                 1.6545,                 0.6741,                0.53488,                 0.6141,                0.43455,                 1.2121,                 1.1944,                 1.8607,              0.0002378,              0.0002378,              0.0002378
                     92,                0.82439,                0.68587,                 1.5854,                0.78989,                 0.4871,                 0.6147,                0.42885,                 1.2395,                 1.1955,                 1.8627,               0.000218,               0.000218,               0.000218
                     93,                0.82363,                0.67048,                 1.5753,                0.78654,                0.49502,                0.61132,                0.42199,                 1.2538,                 1.2014,                 1.8646,              0.0001982,              0.0001982,              0.0001982
                     94,                0.83237,                0.67614,                 1.6169,                0.74777,                0.51163,                0.60727,                0.42294,                 1.2376,                 1.2075,                 1.8685,              0.0001784,              0.0001784,              0.0001784
                     95,                0.79923,                0.63699,                 1.5674,                0.69514,                0.53488,                0.60574,                0.42817,                 1.2077,                 1.1981,                 1.8673,              0.0001586,              0.0001586,              0.0001586
                     96,                0.83477,                0.66166,                  1.611,                0.67129,                0.54153,                0.59631,                0.42539,                 1.1901,                 1.2018,                   1.88,              0.0001388,              0.0001388,              0.0001388
                     97,                0.81246,                0.63893,                 1.5945,                0.67316,                0.54153,                0.60066,                 0.4265,                 1.1844,                  1.209,                 1.8802,               0.000119,               0.000119,               0.000119
                     98,                0.81701,                0.63287,                 1.5999,                0.68897,                0.52492,                 0.5939,                0.42341,                 1.1855,                 1.2196,                 1.8827,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.78828,                0.60905,                 1.5469,                0.69719,                0.52779,                 0.5993,                0.42396,                 1.1859,                 1.2185,                 1.8817,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.80986,                0.64013,                 1.6024,                0.70755,                0.52824,                0.59794,                 0.4213,                 1.1906,                 1.2214,                 1.8814,               5.96e-05,               5.96e-05,               5.96e-05
